"STAID","SOUID","DATE","HU","Q_HU"
65,75759,20170401,-9999,9
65,75759,20170501,-9999,9
65,75759,20170601,-9999,9
65,75759,20170701,-9999,9
65,75759,20170801,-9999,9
65,75759,20170901,-9999,9
65,75759,20171001,-9999,9
66,75766,20170101,-9999,9
66,75766,20170201,-9999,9
66,75766,20170301,-9999,9
66,75766,20170401,-9999,9
66,75766,20170501,-9999,9
66,75766,20170601,-9999,9
66,75766,20170701,-9999,9
66,75766,20170801,-9999,9
66,75766,20170901,-9999,9
66,75766,20171001,-9999,9
67,75773,20170101,-9999,9
67,75773,20170201,-9999,9
67,75773,20170301,-9999,9
67,75773,20170401,-9999,9
67,75773,20170501,-9999,9
67,75773,20170601,-9999,9
67,75773,20170701,-9999,9
67,75773,20170801,-9999,9
67,75773,20170901,-9999,9
67,75773,20171001,-9999,9
70,5526,20170101,-9999,9
70,5526,20170201,-9999,9
70,5526,20170301,-9999,9
70,5526,20170401,-9999,9
70,5526,20170501,-9999,9
70,5526,20170601,-9999,9
70,5526,20170701,-9999,9
70,5526,20170801,-9999,9
70,5526,20170901,-9999,9
70,5526,20171001,-9999,9
71,5527,20170101,-9999,9
71,5527,20170201,-9999,9
71,5527,20170301,-9999,9
71,5527,20170401,-9999,9
71,5527,20170501,-9999,9
71,5527,20170601,-9999,9
71,5527,20170701,-9999,9
71,5527,20170801,-9999,9
71,5527,20170901,-9999,9
71,5527,20171001,-9999,9
72,5528,20170101,-9999,9
72,5528,20170201,-9999,9
72,5528,20170301,-9999,9
72,5528,20170401,-9999,9
72,5528,20170501,-9999,9
72,5528,20170601,-9999,9
72,5528,20170701,-9999,9
72,5528,20170801,-9999,9
72,5528,20170901,-9999,9
72,5528,20171001,-9999,9
73,5529,20170101,-9999,9
73,5529,20170201,-9999,9
73,5529,20170301,-9999,9
73,5529,20170401,-9999,9
73,5529,20170501,-9999,9
73,5529,20170601,-9999,9
73,5529,20170701,-9999,9
73,5529,20170801,-9999,9
73,5529,20170901,-9999,9
73,5529,20171001,-9999,9
74,5530,20170101,-9999,9
74,5530,20170201,-9999,9
74,5530,20170301,-9999,9
74,5530,20170401,-9999,9
74,5530,20170501,-9999,9
74,5530,20170601,-9999,9
74,5530,20170701,-9999,9
74,5530,20170801,-9999,9
74,5530,20170901,-9999,9
74,5530,20171001,-9999,9
75,5531,20170101,-9999,9
75,5531,20170201,-9999,9
75,5531,20170301,-9999,9
75,5531,20170401,-9999,9
75,5531,20170501,-9999,9
75,5531,20170601,-9999,9
75,5531,20170701,-9999,9
75,5531,20170801,-9999,9
75,5531,20170901,-9999,9
75,5531,20171001,-9999,9
76,5532,20170101,-9999,9
76,5532,20170201,-9999,9
76,5532,20170301,-9999,9
76,5532,20170401,-9999,9
76,5532,20170501,-9999,9
76,5532,20170601,-9999,9
76,5532,20170701,-9999,9
76,5532,20170801,-9999,9
76,5532,20170901,-9999,9
76,5532,20171001,-9999,9
77,5533,20170101,-9999,9
77,5533,20170201,-9999,9
77,5533,20170301,-9999,9
77,5533,20170401,-9999,9
77,5533,20170501,-9999,9
77,5533,20170601,-9999,9
77,5533,20170701,-9999,9
77,5533,20170801,-9999,9
77,5533,20170901,-9999,9
77,5533,20171001,-9999,9
78,5534,20170101,-9999,9
78,5534,20170201,-9999,9
78,5534,20170301,-9999,9
78,5534,20170401,-9999,9
78,5534,20170501,-9999,9
78,5534,20170601,-9999,9
78,5534,20170701,-9999,9
78,5534,20170801,-9999,9
78,5534,20170901,-9999,9
78,5534,20171001,-9999,9
79,5535,20170101,-9999,9
79,5535,20170201,-9999,9
79,5535,20170301,-9999,9
79,5535,20170401,-9999,9
79,5535,20170501,-9999,9
79,5535,20170601,-9999,9
79,5535,20170701,-9999,9
