"STAID","SOUID","DATE","SD","Q_SD"
65,75765,20170701,-9999,9
65,75765,20170801,-9999,9
65,75765,20170901,-9999,9
65,75765,20171001,-9999,9
66,75772,20170101,-9999,9
66,75772,20170201,-9999,9
66,75772,20170301,-9999,9
66,75772,20170401,-9999,9
66,75772,20170501,-9999,9
66,75772,20170601,-9999,9
66,75772,20170701,-9999,9
66,75772,20170801,-9999,9
66,75772,20170901,-9999,9
66,75772,20171001,-9999,9
67,75779,20170101,-9999,9
67,75779,20170201,-9999,9
67,75779,20170301,-9999,9
67,75779,20170401,-9999,9
67,75779,20170501,-9999,9
67,75779,20170601,-9999,9
67,75779,20170701,-9999,9
67,75779,20170801,-9999,9
67,75779,20170901,-9999,9
67,75779,20171001,-9999,9
68,75786,20170101,-9999,9
68,75786,20170201,-9999,9
68,75786,20170301,-9999,9
68,75786,20170401,-9999,9
68,75786,20170501,-9999,9
68,75786,20170601,-9999,9
68,75786,20170701,-9999,9
68,75786,20170801,-9999,9
68,75786,20170901,-9999,9
68,75786,20171001,-9999,9
70,17347,20170101,-9999,9
70,17347,20170201,-9999,9
70,17347,20170301,-9999,9
70,17347,20170401,-9999,9
70,17347,20170501,-9999,9
70,17347,20170601,-9999,9
70,17347,20170701,-9999,9
70,17347,20170801,-9999,9
70,17347,20170901,-9999,9
70,17347,20171001,-9999,9
71,16823,20170101,-9999,9
71,16823,20170201,-9999,9
71,16823,20170301,-9999,9
71,16823,20170401,-9999,9
71,16823,20170501,-9999,9
71,16823,20170601,-9999,9
71,16823,20170701,-9999,9
71,16823,20170801,-9999,9
71,16823,20170901,-9999,9
71,16823,20171001,-9999,9
72,17380,20170101,-9999,9
72,17380,20170201,-9999,9
72,17380,20170301,-9999,9
72,17380,20170401,-9999,9
72,17380,20170501,-9999,9
72,17380,20170601,-9999,9
72,17380,20170701,-9999,9
72,17380,20170801,-9999,9
72,17380,20170901,-9999,9
72,17380,20171001,-9999,9
73,934880,20170101,-9999,9
73,17373,20170201,-9999,9
73,17373,20170301,-9999,9
73,17373,20170401,-9999,9
73,17373,20170501,-9999,9
73,17373,20170601,-9999,9
73,17373,20170701,-9999,9
73,17373,20170801,-9999,9
73,17373,20170901,-9999,9
73,17373,20171001,-9999,9
74,17029,20170101,-9999,9
74,17029,20170201,-9999,9
74,17029,20170301,-9999,9
74,17029,20170401,-9999,9
74,17029,20170501,-9999,9
74,17029,20170601,-9999,9
74,17029,20170701,-9999,9
74,17029,20170801,-9999,9
74,17029,20170901,-9999,9
74,17029,20171001,-9999,9
75,16841,20170101,-9999,9
75,16841,20170201,-9999,9
75,16841,20170301,-9999,9
75,16841,20170401,-9999,9
75,16841,20170501,-9999,9
75,16841,20170601,-9999,9
75,16841,20170701,-9999,9
75,16841,20170801,-9999,9
75,16841,20170901,-9999,9
75,16841,20171001,-9999,9
76,17052,20170101,-9999,9
76,17052,20170201,-9999,9
76,17052,20170301,-9999,9
76,17052,20170401,-9999,9
76,17052,20170501,-9999,9
76,17052,20170601,-9999,9
76,17052,20170701,-9999,9
76,17052,20170801,-9999,9
76,17052,20170901,-9999,9
76,17052,20171001,-9999,9
77,926702,20170101,-9999,9
77,926702,20170201,-9999,9
77,926702,20170301,-9999,9
77,926702,20170401,0,0
77,926702,20170501,0,0
77,926702,20170601,0,0
77,926702,20170701,0,0
77,926702,20170801,0,0
77,926702,20170901,0,0
77,926702,20171001,0,0
78,922217,20170101,33,0
78,922217,20170201,44,0
78,922217,20170301,51,0
78,922217,20170401,56,0
78,922217,20170501,29,0
78,922217,20170601,0,0
78,922217,20170701,0,0
78,922217,20170801,0,0
78,922217,20170901,0,0
78,922217,20171001,0,0
79,922520,20170101,11,0
79,922520,20170201,13,0
79,922520,20170301,15,0
79,922520,20170401,-9999,9
79,922520,20170501,-2,1
79,922520,20170601,6,0
79,922520,20170701,0,0
79,922520,20170801,0,0
79,922520,20170901,0,0
79,922520,20171001,-9999,9
80,934009,20170101,19,0
80,934009,20170201,36,0
80,934009,20170301,20,0
80,934009,20170401,0,0
80,934009,20170501,0,0
80,934009,20170601,0,0
80,934009,20170701,0,0
80,934009,20170801,0,0
80,934009,20170901,0,0
80,934009,20171001,0,0
81,16824,20170101,-9999,9
81,16824,20170201,-9999,9
81,16824,20170301,-9999,9
81,16824,20170401,-9999,9
81,16824,20170501,-9999,9
81,16824,20170601,-9999,9
81,16824,20170701,-9999,9
81,16824,20170801,-9999,9
81,16824,20170901,-9999,9
81,16824,20171001,-9999,9
82,17017,20170101,-9999,9
82,17017,20170201,-9999,9
82,17017,20170301,-9999,9
82,17017,20170401,-9999,9
82,17017,20170501,-9999,9
82,17017,20170601,-9999,9
82,17017,20170701,-9999,9
82,17017,20170801,-9999,9
82,17017,20170901,-9999,9
82,17017,20171001,-9999,9
83,922887,20170101,-9999,9
83,922887,20170201,-9999,9
83,922887,20170301,-9999,9
83,922887,20170401,-9999,9
83,922887,20170501,-9999,9
83,922887,20170601,-9999,9
83,922887,20170701,-9999,9
83,922887,20170801,-9999,9
83,922887,20170901,-9999,9
83,922887,20171001,-9999,9
84,17053,20170101,-9999,9
84,17053,20170201,-9999,9
84,17053,20170301,-9999,9
84,17053,20170401,-9999,9
84,17053,20170501,-9999,9
84,17053,20170601,-9999,9
84,17053,20170701,-9999,9
84,17053,20170801,-9999,9
84,17053,20170901,-9999,9
84,17053,20171001,-9999,9
85,926063,20170101,-9999,9
85,926063,20170201,3,0
85,926063,20170301,-1,1
85,926063,20170401,0,0
85,926063,20170501,0,0
85,926063,20170601,0,0
85,926063,20170701,0,0
85,926063,20170801,0,0
85,926063,20170901,0,0
85,926063,20171001,0,0
86,922113,20170101,48,0
86,922113,20170201,41,0
86,922113,20170301,46,0
86,922113,20170401,48,0
86,922113,20170501,26,0
86,922113,20170601,-2,1
86,922113,20170701,0,0
86,922113,20170801,0,0
86,922113,20170901,0,0
86,922113,20171001,0,0
87,927612,20170101,18,0
87,927612,20170201,34,0
87,927612,20170301,23,0
87,927612,20170401,6,0
87,927612,20170501,0,0
87,927612,20170601,0,0
87,927612,20170701,0,0
87,927612,20170801,0,0
87,927612,20170901,0,0
87,927612,20171001,0,0
88,16840,20170101,-9999,9
88,16840,20170201,-9999,9
88,16840,20170301,-9999,9
88,16840,20170401,-9999,9
88,16840,20170501,-9999,9
88,16840,20170601,-9999,9
88,16840,20170701,-9999,9
88,16840,20170801,-9999,9
88,16840,20170901,-9999,9
88,16840,20171001,-9999,9
89,17074,20170101,-9999,9
89,17074,20170201,-9999,9
89,17074,20170301,-9999,9
89,17074,20170401,-9999,9
89,17074,20170501,-9999,9
89,17074,20170601,-9999,9
89,17074,20170701,-9999,9
89,17074,20170801,-9999,9
89,17074,20170901,-9999,9
89,17074,20171001,-9999,9
90,16830,20170101,-9999,9
90,16830,20170201,-9999,9
90,16830,20170301,-9999,9
90,16830,20170401,-9999,9
90,16830,20170501,-9999,9
90,16830,20170601,-9999,9
90,16830,20170701,-9999,9
90,16830,20170801,-9999,9
90,16830,20170901,-9999,9
90,16830,20171001,-9999,9
91,17374,20170101,-9999,9
91,17374,20170201,-9999,9
91,17374,20170301,-9999,9
91,17374,20170401,-9999,9
91,17374,20170501,-9999,9
91,17374,20170601,-9999,9
91,17374,20170701,-9999,9
91,17374,20170801,-9999,9
91,17374,20170901,-9999,9
91,17374,20171001,-9999,9
92,927823,20170101,-9999,9
92,927823,20170201,-9999,9
92,927823,20170301,-9999,9
92,927823,20170401,-9999,9
92,927823,20170501,-9999,9
92,927823,20170601,-9999,9
92,927823,20170701,-9999,9
92,927823,20170801,-9999,9
92,927823,20170901,-9999,9
92,927823,20171001,-9999,9
93,922820,20170101,-9999,9
93,922820,20170201,18,0
93,922820,20170301,27,0
93,922820,20170401,15,0
93,922820,20170501,-1,1
93,922820,20170601,0,0
93,922820,20170701,0,0
93,922820,20170801,0,0
93,922820,20170901,0,0
93,922820,20171001,0,0
94,923418,20170101,-9999,9
94,923418,20170201,-9999,9
94,923418,20170301,-9999,9
94,923418,20170401,76,0
94,16843,20170501,-9999,9
94,16843,20170601,-9999,9
94,16843,20170701,-9999,9
94,16843,20170801,-9999,9
94,16843,20170901,-9999,9
94,16843,20171001,-9999,9
95,926258,20170101,-9999,9
95,926258,20170201,4,0
95,926258,20170301,-2,1
95,926258,20170401,0,0
95,926258,20170501,0,0
95,926258,20170601,0,0
95,926258,20170701,0,0
95,926258,20170801,0,0
95,926258,20170901,0,0
95,926258,20171001,0,0
96,17346,20170101,-9999,9
96,17346,20170201,-9999,9
96,17346,20170301,-9999,9
96,17346,20170401,-9999,9
96,17346,20170501,-9999,9
96,17346,20170601,-9999,9
96,17346,20170701,-9999,9
96,17346,20170801,-9999,9
96,17346,20170901,-9999,9
96,17346,20171001,-9999,9
97,926781,20170101,15,0
97,926781,20170201,36,0
97,926781,20170301,25,0
97,926781,20170401,3,0
97,926781,20170501,0,0
97,926781,20170601,0,0
97,926781,20170701,0,0
97,926781,20170801,0,0
97,926781,20170901,0,0
97,926781,20171001,0,0
98,922802,20170101,1,0
98,922802,20170201,9,0
98,922802,20170301,21,0
98,922802,20170401,10,0
98,922802,20170501,0,0
98,922802,20170601,0,0
98,922802,20170701,0,0
98,922802,20170801,0,0
98,922802,20170901,0,0
98,922802,20171001,0,0
99,16860,20170101,-9999,9
99,16860,20170201,-9999,9
99,16860,20170301,-9999,9
99,16860,20170401,-9999,9
99,16860,20170501,-9999,9
99,16860,20170601,-9999,9
99,16860,20170701,-9999,9
99,16860,20170801,-9999,9
99,16860,20170901,-9999,9
99,16860,20171001,-9999,9
100,17031,20170101,-9999,9
100,17031,20170201,-9999,9
100,17031,20170301,-9999,9
100,17031,20170401,-9999,9
100,17031,20170501,-9999,9
100,17031,20170601,-9999,9
100,17031,20170701,-9999,9
100,17031,20170801,-9999,9
100,17031,20170901,-9999,9
100,17031,20171001,-9999,9
101,16854,20170101,-9999,9
101,16854,20170201,-9999,9
101,16854,20170301,-9999,9
101,16854,20170401,-9999,9
101,16854,20170501,-9999,9
101,16854,20170601,-9999,9
101,16854,20170701,-9999,9
101,16854,20170801,-9999,9
101,16854,20170901,-9999,9
101,16854,20171001,-9999,9
102,16842,20170101,-9999,9
102,16842,20170201,-9999,9
102,16842,20170301,-9999,9
102,16842,20170401,-9999,9
102,16842,20170501,-9999,9
102,16842,20170601,-9999,9
102,16842,20170701,-9999,9
102,16842,20170801,-9999,9
102,16842,20170901,-9999,9
102,16842,20171001,-9999,9
103,926477,20170101,-9999,9
103,926477,20170201,13,0
103,926477,20170301,-2,1
103,926477,20170401,0,0
103,926477,20170501,0,0
103,926477,20170601,0,0
103,926477,20170701,0,0
103,926477,20170801,0,0
103,926477,20170901,0,0
103,926477,20171001,0,0
104,16833,20170101,-9999,9
104,16833,20170201,-9999,9
104,16833,20170301,-9999,9
104,16833,20170401,-9999,9
104,16833,20170501,-9999,9
104,16833,20170601,-9999,9
104,16833,20170701,-9999,9
104,16833,20170801,-9999,9
104,16833,20170901,-9999,9
104,16833,20171001,-9999,9
105,17011,20170101,-9999,9
105,17011,20170201,-9999,9
105,17011,20170301,-9999,9
105,17011,20170401,-9999,9
105,17011,20170501,-9999,9
105,17011,20170601,-9999,9
105,17011,20170701,-9999,9
105,17011,20170801,-9999,9
105,17011,20170901,-9999,9
105,17011,20171001,-9999,9
144,2533,20170101,45,0
144,2533,20170201,25,0
144,2533,20170301,17,0
144,2533,20170401,4,0
144,2533,20170501,17,0
144,2533,20170601,0,0
144,2533,20170701,2,0
144,2533,20170801,0,0
144,2533,20170901,0,0
144,2533,20171001,12,0
145,1885,20170101,30,0
145,1885,20170201,21,0
145,1885,20170301,113,0
145,1885,20170401,1,0
145,1885,20170501,24,0
145,1885,20170601,0,0
145,1885,20170701,7,0
145,1885,20170801,0,0
145,1885,20170901,72,0
145,1885,20171001,10,0
146,1885,20170101,30,0
146,1885,20170201,21,0
146,1885,20170301,113,0
146,1885,20170401,1,0
