"STAID","SOUID","DATE","TG","Q_TG"
52,187,20170301,54,0
52,187,20170401,157,0
52,187,20170501,67,0
52,187,20170601,208,0
52,187,20170701,179,0
52,187,20170801,261,0
52,187,20170901,133,0
52,910865,20171001,138,0
53,192,20170101,-9999,9
53,192,20170201,-9999,9
53,192,20170301,-9999,9
53,192,20170401,-9999,9
53,192,20170501,-9999,9
53,192,20170601,-9999,9
53,192,20170701,-9999,9
53,192,20170801,-9999,9
53,192,20170901,-9999,9
53,192,20171001,-9999,9
54,197,20170101,17,0
54,197,20170201,-10,0
54,197,20170301,38,0
54,197,20170401,161,0
54,197,20170501,111,0
54,197,20170601,157,0
54,197,20170701,156,0
54,197,20170801,231,0
54,197,20170901,145,0
54,910379,20171001,124,0
55,202,20170101,33,0
55,202,20170201,2,0
55,202,20170301,36,0
55,202,20170401,139,0
55,202,20170501,104,0
55,202,20170601,138,0
55,202,20170701,147,0
55,202,20170801,198,0
55,202,20170901,148,0
55,910162,20171001,145,0
56,207,20170101,-9999,9
56,207,20170201,-9999,9
56,207,20170301,-9999,9
56,207,20170401,-9999,9
56,207,20170501,-9999,9
56,207,20170601,-9999,9
56,207,20170701,-9999,9
56,207,20170801,-9999,9
56,207,20170901,-9999,9
56,207,20171001,-9999,9
57,29432,20170101,-22,0
57,29432,20170201,26,0
57,29432,20170301,67,0
57,29432,20170401,116,0
57,29432,20170501,106,0
57,29432,20170601,210,0
57,29432,20170701,162,0
57,29432,20170801,201,0
57,29432,20170901,139,0
57,212,20171001,-9999,9
58,217,20170101,-64,0
58,217,20170201,-66,0
58,217,20170301,-123,0
58,217,20170401,-28,0
58,217,20170501,-62,0
58,217,20170601,36,0
58,217,20170701,-12,0
58,217,20170801,113,0
58,217,20170901,-2,0
58,910961,20171001,3,0
59,222,20170101,-9999,9
59,222,20170201,-9999,9
59,222,20170301,-9999,9
59,222,20170401,-9999,9
59,222,20170501,-9999,9
59,222,20170601,-9999,9
59,222,20170701,-9999,9
59,222,20170801,-9999,9
59,222,20170901,-9999,9
59,222,20171001,-9999,9
60,227,20170101,-9999,9
60,227,20170201,-9999,9
60,227,20170301,-9999,9
60,227,20170401,-9999,9
60,227,20170501,-9999,9
60,227,20170601,-9999,9
60,227,20170701,-9999,9
60,227,20170801,-9999,9
60,227,20170901,-9999,9
60,227,20171001,-9999,9
61,232,20170101,-9999,9
61,232,20170201,-9999,9
61,232,20170301,-9999,9
61,232,20170401,-9999,9
61,232,20170501,-9999,9
61,232,20170601,-9999,9
61,232,20170701,-9999,9
61,232,20170801,-9999,9
61,232,20170901,-9999,9
61,232,20171001,-9999,9
62,237,20170101,-9999,9
62,237,20170201,-9999,9
62,237,20170301,-9999,9
62,237,20170401,-9999,9
62,237,20170501,-9999,9
62,237,20170601,-9999,9
62,237,20170701,-9999,9
62,237,20170801,-9999,9
62,237,20170901,-9999,9
62,237,20171001,-9999,9
63,242,20170101,-9999,9
63,242,20170201,-9999,9
63,242,20170301,-9999,9
63,242,20170401,-9999,9
63,242,20170501,-9999,9
63,242,20170601,-9999,9
63,242,20170701,-9999,9
63,242,20170801,-9999,9
63,242,20170901,-9999,9
63,242,20171001,-9999,9
