"STAID","SOUID","DATE","RR","Q_RR"
1353,3091,20170901,-9999,9
1353,3091,20171001,-9999,9
1354,3094,20170101,-9999,9
1354,3094,20170201,-9999,9
1354,3094,20170301,-9999,9
1354,3094,20170401,-9999,9
1354,3094,20170501,-9999,9
1354,3094,20170601,-9999,9
1354,3094,20170701,-9999,9
1354,3094,20170801,-9999,9
1354,3094,20170901,-9999,9
1354,3094,20171001,-9999,9
1355,52120,20170101,-9999,9
1355,52120,20170201,-9999,9
1355,52120,20170301,-9999,9
1355,52120,20170401,-9999,9
1355,52120,20170501,-9999,9
1355,52120,20170601,-9999,9
1355,52120,20170701,-9999,9
1355,52120,20170801,-9999,9
1355,52120,20170901,-9999,9
1355,52120,20171001,-9999,9
1356,3096,20170101,-9999,9
1356,3096,20170201,-9999,9
1356,3096,20170301,-9999,9
1356,3096,20170401,-9999,9
1356,3096,20170501,-9999,9
1356,3096,20170601,-9999,9
1356,3096,20170701,-9999,9
1356,3096,20170801,-9999,9
1356,3096,20170901,-9999,9
1356,3096,20171001,-9999,9
1357,52275,20170101,-9999,9
1357,52275,20170201,-9999,9
1357,52275,20170301,-9999,9
1357,52275,20170401,-9999,9
1357,52275,20170501,-9999,9
1357,52275,20170601,-9999,9
1357,52275,20170701,-9999,9
1357,52275,20170801,-9999,9
1357,52275,20170901,-9999,9
1357,52275,20171001,-9999,9
1358,3100,20170101,-9999,9
1358,3100,20170201,-9999,9
1358,3100,20170301,-9999,9
1358,3100,20170401,-9999,9
1358,3100,20170501,-9999,9
1358,3100,20170601,-9999,9
1358,3100,20170701,-9999,9
1358,3100,20170801,-9999,9
1358,3100,20170901,-9999,9
1358,3100,20171001,-9999,9
1359,3103,20170101,-9999,9
1359,3103,20170201,-9999,9
1359,3103,20170301,-9999,9
1359,3103,20170401,-9999,9
1359,3103,20170501,-9999,9
1359,3103,20170601,-9999,9
1359,3103,20170701,-9999,9
1359,3103,20170801,-9999,9
1359,3103,20170901,-9999,9
