"STAID","SOUID","DATE","DD","Q_DD"
3919,19878,20170501,220,0
3919,19878,20170601,230,0
3919,19878,20170701,340,0
3919,19878,20170801,230,0
3919,19878,20170901,70,0
3919,19878,20171001,60,0
3920,19914,20170101,-9999,9
3920,19914,20170201,-9999,9
3920,19914,20170301,-9999,9
3920,19914,20170401,-9999,9
3920,19914,20170501,-9999,9
3920,19914,20170601,-9999,9
3920,19914,20170701,-9999,9
3920,19914,20170801,-9999,9
3920,19914,20170901,-9999,9
3920,19914,20171001,-9999,9
3921,19923,20170101,170,0
3921,19923,20170201,180,0
3921,19923,20170301,270,0
3921,19923,20170401,290,0
3921,19923,20170501,320,0
3921,19923,20170601,210,0
3921,19923,20170701,360,0
3921,19923,20170801,260,0
3921,19923,20170901,330,0
3921,19923,20171001,360,0
3922,19977,20170101,190,0
3922,19977,20170201,200,0
3922,19977,20170301,210,0
3922,19977,20170401,290,0
3922,19977,20170501,270,0
3922,19977,20170601,20,0
3922,19977,20170701,300,0
3922,19977,20170801,70,0
3922,19977,20170901,260,0
3922,19977,20171001,250,0
3923,19986,20170101,0,0
3923,19986,20170201,0,0
3923,19986,20170301,0,0
3923,19986,20170401,290,0
3923,19986,20170501,270,0
3923,19986,20170601,60,0
3923,19986,20170701,300,0
3923,19986,20170801,60,0
3923,19986,20170901,280,0
3923,19986,20171001,270,0
3924,19995,20170101,270,0
3924,19995,20170201,310,0
3924,19995,20170301,110,0
3924,19995,20170401,360,0
3924,19995,20170501,220,0
3924,19995,20170601,160,0
3924,908286,20170701,180,0
3924,908286,20170801,150,0
3924,908286,20170901,100,0
3924,908286,20171001,110,0
3925,19995,20170101,270,0
3925,19995,20170201,310,0
3925,19995,20170301,110,0
3925,19995,20170401,360,0
3925,19995,20170501,220,0
3925,19995,20170601,160,0
3925,908286,20170701,180,0
3925,908286,20170801,150,0
3925,908286,20170901,100,0
3925,908286,20171001,110,0
3926,20013,20170101,130,0
3926,20013,20170201,230,0
3926,20013,20170301,310,0
3926,20013,20170401,290,0
3926,20013,20170501,200,0
3926,20013,20170601,100,0
3926,20013,20170701,30,0
3926,20013,20170801,280,0
3926,20013,20170901,110,0
3926,20013,20171001,140,0
3927,20022,20170101,-9999,9
3927,20022,20170201,-9999,9
3927,20022,20170301,-9999,9
3927,20022,20170401,-9999,9
3927,20022,20170501,-9999,9
3927,20022,20170601,-9999,9
3927,20022,20170701,-9999,9
3927,20022,20170801,-9999,9
3927,20022,20170901,-9999,9
3927,20022,20171001,-9999,9
3928,20031,20170101,70,0
3928,20031,20170201,220,0
3928,20031,20170301,260,0
3928,20031,20170401,280,0
3928,20031,20170501,290,0
3928,20031,20170601,20,0
3928,20031,20170701,50,0
3928,20031,20170801,230,0
3928,20031,20170901,30,0
3928,20031,20171001,30,0
3929,20058,20170101,170,0
3929,20058,20170201,240,0
3929,20058,20170301,320,0
3929,20058,20170401,330,0
3929,20058,20170501,330,0
3929,20058,20170601,180,0
3929,20058,20170701,350,0
3929,20058,20170801,230,0
3929,20058,20170901,240,0
3929,20058,20171001,30,0
3930,56227,20170101,209,0
3930,56227,20170201,186,0
3930,56227,20170301,181,0
3930,56227,20170401,40,0
3930,56227,20170501,164,0
3930,56227,20170601,197,0
3930,20067,20170701,-9999,9
3930,20067,20170801,-9999,9
3930,20067,20170901,-9999,9
3930,20067,20171001,-9999,9
3931,20076,20170101,210,0
3931,20076,20170201,210,0
3931,20076,20170301,200,0
3931,20076,20170401,10,0
3931,20076,20170501,120,0
3931,20076,20170601,210,0
3931,20076,20170701,200,0
3931,20076,20170801,30,0
3931,20076,20170901,160,0
3931,20076,20171001,210,0
3932,20085,20170101,170,0
3932,20085,20170201,260,0
3932,20085,20170301,270,0
3932,20085,20170401,310,0
3932,20085,20170501,280,0
3932,20085,20170601,150,0
3932,20085,20170701,260,0
3932,20085,20170801,220,0
3932,20085,20170901,220,0
3932,20085,20171001,160,0
3933,908226,20170101,260,0
3933,908226,20170201,200,0
3933,908226,20170301,240,0
3933,908226,20170401,340,0
3933,908226,20170501,290,0
3933,908226,20170601,190,0
3933,908226,20170701,10,0
3933,908226,20170801,270,0
3933,908226,20170901,330,0
3933,908226,20171001,60,0
3934,20112,20170101,-9999,9
3934,20112,20170201,-9999,9
3934,20112,20170301,-9999,9
3934,20112,20170401,-9999,9
3934,20112,20170501,-9999,9
3934,20112,20170601,-9999,9
3934,20112,20170701,-9999,9
3934,20112,20170801,-9999,9
3934,20112,20170901,-9999,9
3934,20112,20171001,-9999,9
3935,20121,20170101,210,0
3935,20121,20170201,220,0
3935,20121,20170301,260,0
3935,20121,20170401,280,0
3935,20121,20170501,260,0
3935,20121,20170601,120,0
3935,20121,20170701,10,0
3935,20121,20170801,220,0
3935,20121,20170901,70,0
3935,20121,20171001,10,0
3936,908029,20170101,200,0
3936,908029,20170201,340,0
3936,908029,20170301,210,0
3936,908029,20170401,210,0
3936,908029,20170501,280,0
3936,908029,20170601,10,0
3936,908029,20170701,240,0
3936,908029,20170801,350,0
3936,908029,20170901,270,0
3936,908029,20171001,210,0
3937,20139,20170101,80,0
3937,20139,20170201,180,0
3937,20139,20170301,290,0
3937,20139,20170401,330,0
3937,20139,20170501,310,0
3937,20139,20170601,240,0
3937,20139,20170701,350,0
3937,20139,20170801,280,0
3937,20139,20170901,270,0
3937,20139,20171001,270,0
3938,20166,20170101,230,0
3938,20166,20170201,240,0
3938,20166,20170301,260,0
3938,20166,20170401,290,0
3938,20166,20170501,350,0
3938,20166,20170601,210,0
3938,20166,20170701,70,0
3938,20166,20170801,290,0
3938,20166,20170901,160,0
3938,20166,20171001,20,0
3939,20175,20170101,-9999,9
3939,20175,20170201,-9999,9
3939,20175,20170301,-9999,9
3939,20175,20170401,-9999,9
3939,20175,20170501,-9999,9
3939,20175,20170601,-9999,9
3939,20175,20170701,-9999,9
3939,20175,20170801,-9999,9
3939,20175,20170901,-9999,9
3939,20175,20171001,-9999,9
3940,20193,20170101,160,0
3940,20193,20170201,20,0
3940,20193,20170301,30,0
3940,20193,20170401,20,0
3940,20193,20170501,30,0
3940,20193,20170601,360,0
3940,20193,20170701,360,0
3940,20193,20170801,30,0
3940,20193,20170901,360,0
3940,20193,20171001,20,0
3941,20211,20170101,190,0
3941,20211,20170201,360,0
3941,20211,20170301,10,0
3941,20211,20170401,10,0
3941,20211,20170501,10,0
3941,20211,20170601,350,0
3941,20211,20170701,360,0
3941,20211,20170801,360,0
3941,20211,20170901,360,0
3941,20211,20171001,360,0
3942,20238,20170101,290,0
3942,20238,20170201,40,0
3942,20238,20170301,280,0
3942,20238,20170401,280,0
3942,20238,20170501,270,0
3942,20238,20170601,60,0
3942,20238,20170701,270,0
3942,20238,20170801,110,0
3942,20238,20170901,250,0
3942,20238,20171001,170,0
3943,20238,20170101,290,0
3943,20238,20170201,40,0
3943,20238,20170301,280,0
3943,20238,20170401,280,0
3943,20238,20170501,270,0
3943,20238,20170601,60,0
3943,20238,20170701,270,0
3943,20238,20170801,110,0
3943,20238,20170901,250,0
3943,20238,20171001,170,0
3944,20256,20170101,160,0
3944,20256,20170201,210,0
3944,20256,20170301,230,0
3944,20256,20170401,260,0
3944,20256,20170501,240,0
3944,20256,20170601,40,0
3944,20256,20170701,80,0
3944,20256,20170801,50,0
3944,20256,20170901,60,0
3944,20256,20171001,230,0
3945,20265,20170101,0,0
3945,20265,20170201,0,0
3945,20265,20170301,0,0
3945,20265,20170401,310,0
3945,20265,20170501,0,0
3945,20265,20170601,350,0
3945,20265,20170701,20,0
3945,20265,20170801,0,0
3945,20265,20170901,40,0
3945,20265,20171001,120,0
3946,20274,20170101,240,0
3946,20274,20170201,330,0
3946,20274,20170301,210,0
3946,20274,20170401,280,0
3946,20274,20170501,240,0
3946,20274,20170601,80,0
3946,20274,20170701,360,0
3946,20274,20170801,210,0
3946,20274,20170901,340,0
3946,20274,20171001,40,0
3947,20283,20170101,140,0
3947,20283,20170201,0,0
3947,20283,20170301,230,0
3947,20283,20170401,290,0
3947,20283,20170501,280,0
3947,20283,20170601,120,0
3947,20283,20170701,50,0
3947,20283,20170801,220,0
3947,20283,20170901,10,0
3947,20283,20171001,40,0
3948,20292,20170101,140,0
3948,20292,20170201,170,0
3948,20292,20170301,230,0
3948,20292,20170401,300,0
3948,20292,20170501,310,0
3948,20292,20170601,200,0
3948,20292,20170701,40,0
3948,20292,20170801,230,0
3948,20292,20170901,30,0
3948,20292,20171001,40,0
3949,20328,20170101,0,0
3949,20328,20170201,0,0
3949,20328,20170301,0,0
3949,20328,20170401,330,0
3949,20328,20170501,30,0
3949,20328,20170601,0,0
3949,20328,20170701,90,0
3949,20328,20170801,360,0
3949,20328,20170901,100,0
3949,20328,20171001,130,0
3950,20355,20170101,160,0
3950,20355,20170201,200,0
3950,20355,20170301,170,0
3950,20355,20170401,330,0
3950,20355,20170501,320,0
3950,20355,20170601,80,0
3950,20355,20170701,330,0
3950,20355,20170801,330,0
3950,20355,20170901,350,0
3950,20355,20171001,300,0
3951,20364,20170101,100,0
3951,20364,20170201,160,0
3951,20364,20170301,210,0
3951,20364,20170401,260,0
3951,20364,20170501,260,0
3951,20364,20170601,270,0
3951,20364,20170701,60,0
3951,20364,20170801,270,0
3951,20364,20170901,340,0
3951,20364,20171001,280,0
3953,20382,20170101,-9999,9
3953,20382,20170201,-9999,9
3953,20382,20170301,-9999,9
3953,20382,20170401,-9999,9
3953,20382,20170501,-9999,9
3953,20382,20170601,-9999,9
3953,20382,20170701,-9999,9
3953,20382,20170801,-9999,9
3953,20382,20170901,-9999,9
3953,20382,20171001,-9999,9
3954,20391,20170101,80,0
3954,20391,20170201,170,0
3954,20391,20170301,170,0
3954,20391,20170401,270,0
3954,20391,20170501,250,0
3954,20391,20170601,260,0
3954,20391,20170701,330,0
3954,20391,20170801,140,0
3954,20391,20170901,340,0
3954,20391,20171001,310,0
3955,20400,20170101,-9999,9
3955,20400,20170201,-9999,9
3955,20400,20170301,-9999,9
3955,20400,20170401,-9999,9
3955,20400,20170501,-9999,9
3955,20400,20170601,-9999,9
3955,20400,20170701,-9999,9
3955,20400,20170801,-9999,9
3955,20400,20170901,-9999,9
3955,20400,20171001,-9999,9
3956,20418,20170101,150,0
3956,20418,20170201,190,0
3956,20418,20170301,240,0
3956,20418,20170401,260,0
3956,20418,20170501,250,0
3956,20418,20170601,250,0
3956,20418,20170701,60,0
3956,20418,20170801,250,0
3956,20418,20170901,40,0
3956,20418,20171001,50,0
3957,20427,20170101,160,0
3957,20427,20170201,360,0
3957,20427,20170301,10,0
3957,20427,20170401,330,0
3957,20427,20170501,20,0
3957,20427,20170601,350,0
3957,20427,20170701,360,0
3957,20427,20170801,360,0
3957,20427,20170901,350,0
3957,20427,20171001,350,0
3958,20445,20170101,180,0
3958,20445,20170201,30,0
3958,20445,20170301,10,0
3958,20445,20170401,360,0
3958,20445,20170501,350,0
3958,20445,20170601,30,0
3958,20445,20170701,360,0
3958,20445,20170801,20,0
3958,20445,20170901,10,0
3958,20445,20171001,10,0
3959,20454,20170101,190,0
3959,20454,20170201,330,0
3959,20454,20170301,70,0
3959,20454,20170401,70,0
3959,20454,20170501,40,0
3959,20454,20170601,360,0
3959,20454,20170701,20,0
3959,20454,20170801,20,0
3959,20454,20170901,350,0
3959,20454,20171001,20,0
3960,20472,20170101,70,0
3960,20472,20170201,330,0
3960,20472,20170301,60,0
3960,20472,20170401,60,0
3960,20472,20170501,80,0
3960,20472,20170601,90,0
3960,20472,20170701,60,0
3960,20472,20170801,70,0
3960,20472,20170901,60,0
3960,20472,20171001,60,0
3961,20481,20170101,40,0
3961,20481,20170201,200,0
3961,20481,20170301,250,0
3961,20481,20170401,260,0
3961,20481,20170501,240,0
3961,20481,20170601,110,0
3961,20481,20170701,20,0
3961,20481,20170801,280,0
3961,20481,20170901,10,0
3961,20481,20171001,330,0
3962,20481,20170101,40,0
3962,20481,20170201,200,0
3962,20481,20170301,250,0
3962,20481,20170401,260,0
3962,20481,20170501,240,0
3962,20481,20170601,110,0
3962,20481,20170701,20,0
3962,20481,20170801,280,0
3962,20481,20170901,10,0
3962,20481,20171001,330,0
3963,20499,20170101,20,0
3963,20499,20170201,240,0
3963,20499,20170301,20,0
3963,20499,20170401,300,0
3963,20499,20170501,40,0
3963,20499,20170601,190,0
3963,20499,20170701,50,0
3963,20499,20170801,230,0
3963,20499,20170901,90,0
3963,20499,20171001,30,0
3964,20535,20170101,140,0
3964,20535,20170201,220,0
3964,20535,20170301,260,0
3964,20535,20170401,300,0
3964,20535,20170501,320,0
3964,20535,20170601,80,0
3964,20535,20170701,350,0
3964,20535,20170801,330,0
3964,20535,20170901,350,0
3964,20535,20171001,340,0
3965,20544,20170101,-9999,9
3965,20544,20170201,-9999,9
3965,20544,20170301,-9999,9
3965,20544,20170401,-9999,9
3965,20544,20170501,-9999,9
3965,20544,20170601,-9999,9
3965,20544,20170701,-9999,9
3965,20544,20170801,-9999,9
3965,20544,20170901,-9999,9
3965,20544,20171001,-9999,9
3966,20553,20170101,180,0
3966,20553,20170201,210,0
3966,20553,20170301,180,0
3966,20553,20170401,360,0
3966,20553,20170501,350,0
3966,20553,20170601,280,0
3966,20553,20170701,20,0
3966,20553,20170801,180,0
3966,20553,20170901,320,0
3966,20553,20171001,310,0
3967,20562,20170101,100,0
3967,20562,20170201,260,0
3967,20562,20170301,290,0
3967,20562,20170401,330,0
3967,20562,20170501,340,0
3967,20562,20170601,140,0
3967,20562,20170701,40,0
3967,20562,20170801,280,0
